Anno,Semestre,Prov,Comune_descrizione,Zona_Descr,Descr_Tipologia,Compr_min,Compr_max,Compr_mean
2019,S1,BO,BOLOGNA,'CENTRO STORICO',Abitazioni civili,2600,3600,3100.0
2019,S1,BO,BOLOGNA,'ZAMBONI - CASTELTIALTO- ALDROVANDI - SAN VITALE',Abitazioni civili,2600,3300,2950.0
2019,S1,BO,BOLOGNA,'QUARTIERE MARCONI PORTO: MILLE - GALLIERA - RIVA RENO - MARCONI',Abitazioni civili,2100,2700,2400.0
2019,S1,BO,BOLOGNA,'QUARTIERE MARCONI: S. FELICE - GRADA - VICINI - PIETRAMELLARA - INDIPENDENZA - FALEGNAMI - GALLIERA - MILLE - MARCONI',Abitazioni civili,2200,2750,2475.0
2019,S1,BO,BOLOGNA,'IRNERIO CENTOTRECENTO MOLINE RIGHI P.ZZA OTTO AGOSTO INDIPENDENZA V.LI MASINI E PICHAT',Abitazioni civili,2400,2800,2600.0
2019,S1,BO,BOLOGNA,'CENTOTRECENTO IRNERIO P.ZZA DI PORTA SAN DONATO V.LE FILOPANTI SAN VITALE PETRONI',Abitazioni civili,2200,2800,2500.0
2019,S1,BO,BOLOGNA,'SAN VITALE - VIALE ERCOLANI - PIAZZA CARDUCCI - DANTE - SANTO STEFANO - GUERRAZZI - PIAZZA ALDROVANDI',Abitazioni civili,2900,3500,3200.0
2019,S1,BO,BOLOGNA,'QUARTIRE GALVANI: SANTO STEFANO - P.ZZA DI PORTA S. STEFANO - VIALI GOZZADINI E PANZACCHI - SAVENELLA TOVAGLIE - D`AZEGLIO -',Abitazioni civili,2700,3800,3250.0
2019,S1,BO,BOLOGNA,'QUARTIERE GALVANI MURA DI PORTA CASTIGLIONE: D`AZEGLIO - TOVAGLIE SAVENELLA - MURA DI PORTA CASTIGLIONE',Abitazioni civili,2600,3300,2950.0
2019,S1,BO,BOLOGNA,'QUARTIERE MALPIGHI SARAGOZZA: SANT`ISAIA - VIALI PEPOLI ALDINI - D`AZEGLIO BARBERIA',Abitazioni civili,2100,2800,2450.0
2019,S1,BO,BOLOGNA,'QUARTIERE MALPIGHI: S.FELICE - GRADA - VICINI - S.ISAIA - S.FRANCESCO - MALPIGHI',Abitazioni civili,2400,3000,2700.0
